# seed = 1 mean = 50 standard_deviation = 10 number_of_pages = 100
Capacity of LSU = 5
------------------------------------------------------------
Page Faults = 77
Page Hits = 23
------------------------------------------------------------
[66] <-- Page - 66 | Page Fault Here
[66, 43] <-- Page - 43 | Page Fault Here
[66, 43, 44] <-- Page - 44 | Page Fault Here
[66, 43, 44, 39] <-- Page - 39 | Page Fault Here
[66, 43, 44, 39, 58] <-- Page - 58 | Page Fault Here
[43, 44, 39, 58, 26] <-- Page - 26 | Page Fault Here
[44, 39, 58, 26, 67] <-- Page - 67 | Page Fault Here
[39, 58, 26, 67, 42] <-- Page - 42 | Page Fault Here
[58, 26, 67, 42, 53] <-- Page - 53 | Page Fault Here
[26, 67, 42, 53, 47] <-- Page - 47 | Page Fault Here
[67, 42, 53, 47, 64] <-- Page - 64 | Page Fault Here
[42, 53, 47, 64, 29] <-- Page - 29 | Page Fault Here
[53, 47, 64, 29, 46] <-- Page - 46 | Page Fault Here
[53, 47, 64, 29, 46] <-- Page - 46
[47, 64, 29, 46, 61] <-- Page - 61 | Page Fault Here
[64, 29, 46, 61, 39] <-- Page - 39 | Page Fault Here
[29, 46, 61, 39, 48] <-- Page - 48 | Page Fault Here
[46, 61, 39, 48, 41] <-- Page - 41 | Page Fault Here
[46, 39, 48, 41, 50] <-- Page - 50 | Page Fault Here
[46, 48, 41, 50, 55] <-- Page - 55 | Page Fault Here
[46, 41, 50, 55, 38] <-- Page - 38 | Page Fault Here
[46, 50, 55, 38, 61] <-- Page - 61 | Page Fault Here
[46, 55, 38, 61, 59] <-- Page - 59 | Page Fault Here
[46, 55, 38, 61, 59] <-- Page - 55
[46, 55, 38, 61, 59] <-- Page - 59
[46, 55, 61, 59, 43] <-- Page - 43 | Page Fault Here
[46, 55, 59, 43, 48] <-- Page - 48 | Page Fault Here
[46, 55, 59, 48, 40] <-- Page - 40 | Page Fault Here
[46, 55, 59, 40, 47] <-- Page - 47 | Page Fault Here
[46, 55, 59, 40, 47] <-- Page - 55
[46, 55, 59, 47, 43] <-- Page - 43 | Page Fault Here
[46, 55, 59, 47, 43] <-- Page - 46
[46, 55, 59, 47, 43] <-- Page - 43
[46, 55, 59, 43, 41] <-- Page - 41 | Page Fault Here
[46, 55, 59, 43, 41] <-- Page - 43
[46, 55, 59, 43, 49] <-- Page - 49 | Page Fault Here
[46, 55, 59, 43, 38] <-- Page - 38 | Page Fault Here
[46, 55, 59, 43, 52] <-- Page - 52 | Page Fault Here
[46, 55, 59, 43, 66] <-- Page - 66 | Page Fault Here
[46, 55, 59, 43, 57] <-- Page - 57 | Page Fault Here
[46, 55, 59, 43, 48] <-- Page - 48 | Page Fault Here
[46, 55, 59, 43, 41] <-- Page - 41 | Page Fault Here
[46, 55, 59, 43, 42] <-- Page - 42 | Page Fault Here
[46, 55, 59, 43, 66] <-- Page - 66 | Page Fault Here
[46, 55, 59, 43, 50] <-- Page - 50 | Page Fault Here
