# seed = 1 mean = 50 standard_deviation = 10 number_of_pages = 500
Capacity of LRU = 5
------------------------------------------------------------
Page Faults = 419
Page Hits = 81
------------------------------------------------------------
[66] <-- Page - 66 | Page Fault Here
[66, 43] <-- Page - 43 | Page Fault Here
[66, 43, 44] <-- Page - 44 | Page Fault Here
[66, 43, 44, 39] <-- Page - 39 | Page Fault Here
[66, 43, 44, 39, 58] <-- Page - 58 | Page Fault Here
[43, 44, 39, 58, 26] <-- Page - 26 | Page Fault Here
[44, 39, 58, 26, 67] <-- Page - 67 | Page Fault Here
[39, 58, 26, 67, 42] <-- Page - 42 | Page Fault Here
[58, 26, 67, 42, 53] <-- Page - 53 | Page Fault Here
[26, 67, 42, 53, 47] <-- Page - 47 | Page Fault Here
[67, 42, 53, 47, 64] <-- Page - 64 | Page Fault Here
[42, 53, 47, 64, 29] <-- Page - 29 | Page Fault Here
[53, 47, 64, 29, 46] <-- Page - 46 | Page Fault Here
[53, 47, 64, 29, 46] <-- Page - 46
[47, 64, 29, 46, 61] <-- Page - 61 | Page Fault Here
[64, 29, 46, 61, 39] <-- Page - 39 | Page Fault Here
[29, 46, 61, 39, 48] <-- Page - 48 | Page Fault Here
[46, 61, 39, 48, 41] <-- Page - 41 | Page Fault Here
[61, 39, 48, 41, 50] <-- Page - 50 | Page Fault Here
[39, 48, 41, 50, 55] <-- Page - 55 | Page Fault Here
[48, 41, 50, 55, 38] <-- Page - 38 | Page Fault Here
[41, 50, 55, 38, 61] <-- Page - 61 | Page Fault Here
[50, 55, 38, 61, 59] <-- Page - 59 | Page Fault Here
[50, 38, 61, 59, 55] <-- Page - 55
[50, 38, 61, 55, 59] <-- Page - 59
[38, 61, 55, 59, 43] <-- Page - 43 | Page Fault Here
[61, 55, 59, 43, 48] <-- Page - 48 | Page Fault Here
[55, 59, 43, 48, 40] <-- Page - 40 | Page Fault Here
[59, 43, 48, 40, 47] <-- Page - 47 | Page Fault Here
[43, 48, 40, 47, 55] <-- Page - 55 | Page Fault Here
[48, 40, 47, 55, 43] <-- Page - 43
[40, 47, 55, 43, 46] <-- Page - 46 | Page Fault Here
[40, 47, 55, 46, 43] <-- Page - 43
[47, 55, 46, 43, 41] <-- Page - 41 | Page Fault Here
[47, 55, 46, 41, 43] <-- Page - 43
[55, 46, 41, 43, 49] <-- Page - 49 | Page Fault Here
[46, 41, 43, 49, 38] <-- Page - 38 | Page Fault Here
[41, 43, 49, 38, 52] <-- Page - 52 | Page Fault Here
[43, 49, 38, 52, 66] <-- Page - 66 | Page Fault Here
[49, 38, 52, 66, 57] <-- Page - 57 | Page Fault Here
[38, 52, 66, 57, 48] <-- Page - 48 | Page Fault Here
[52, 66, 57, 48, 41] <-- Page - 41 | Page Fault Here
[66, 57, 48, 41, 42] <-- Page - 42 | Page Fault Here
[57, 48, 41, 42, 66] <-- Page - 66
[48, 41, 42, 66, 50] <-- Page - 50 | Page Fault Here
